{\rtf1\ansi\ansicpg1252\cocoartf2706
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;\f1\froman\fcharset0 Times-Roman;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 municipio,K,a,b,c\
Abaiara,1007.761,0.165,13.0,0.741\
Acarape,1133.407,0.187,17.0,0.784\
Acara\'fa,1045.122,0.178,15.0,0.762\
Acopiara,1061.353,0.183,15.0,0.766\
Aiuaba,894.137,0.141,11.0,0.711\
Alc\'e2ntaras,985.401,0.158,12.5,0.735\
Altaneira,1022.955,0.170,14.0,0.749\
Alto Santo,1015.659,0.168,14.0,0.750\
Amontada,1051.761,0.179,15.0,0.765\
Antonina do Norte,995.820,0.163,14.0,0.742\
Apuiar\'e9s,1031.782,0.174,14.0,0.757\
Aquiraz,1102.455,0.182,16.0,0.775\
Aracati,1088.304,0.180,15.8,0.770\
Aracoiaba,1121.365,0.186,16.5,0.780\
Ararend\'e1,964.604,0.156,13.0,0.733\
Araripe,978.225,0.158,13.0,0.733\
Aratuba,1071.196,0.183,15.0,0.770\
Arneiroz,909.110,0.143,12.0,0.718\
Assar\'e9,1028.917,0.171,14.0,0.750\
Aurora,1002.822,0.164,13.0,0.740\
Baixio,1007.761,0.165,13.0,0.741\
Banabui\'fa,1035.792,0.175,15.0,0.758\
Barbalha,1019.231,0.168,13.0,0.742\
Barreira,1118.916,0.185,16.0,0.778\
Barro,1014.238,0.167,13.0,0.743\
Barroquinha,1038.541,0.177,15.0,0.760\
Baturit\'e9,1093.593,0.181,15.5,0.773\
Beberibe,1102.455,0.182,16.0,0.775\
Bela Cruz,1045.122,0.178,15.0,0.762\
Boa Viagem,1011.085,0.169,14.0,0.750\
Brejo Santo,1019.231,0.168,13.0,0.742\
Camocim,1031.959,0.175,15.0,0.758\
Campos Sales,943.518,0.151,12.0,0.725\
Canind\'e9,1038.312,0.175,14.0,0.758\
Capistrano,1103.587,0.182,16.0,0.774\
Caridade,1048.067,0.178,15.0,0.762\
Carir\'e9,1005.153,0.165,13.0,0.745\
Cariria\'e7u,1028.188,0.171,14.0,0.750\
Cari\'fas,1017.585,0.169,14.0,0.748\
Carnaubal,983.565,0.160,13.0,0.737\
Cascavel,1090.871,0.181,15.8,0.771\
Catarina,957.513,0.155,12.0,0.730\
Catunda,982.809,0.161,13.5,0.740\
Caucaia,1085.302,0.180,15.5,0.768\
Cedro,1028.917,0.171,14.0,0.750\
Chaval,1031.959,0.175,15.0,0.758\
Chor\'f3,1048.067,0.178,15.0,0.762\
Chorozinho,1107.447,0.183,16.0,0.776\
Corea\'fa,1012.062,0.167,13.5,0.746\
Crate\'fas,957.513,0.155,12.0,0.730\
Crato,1028.188,0.171,14.0,0.750\
Croat\'e1,989.282,0.162,14.0,0.740\
Cruz,1045.122,0.178,15.0,0.762\
Deputado Irapuan Pinheiro,1014.316,0.170,14.0,0.748\
Erer\'e9,1000.933,0.165,14.0,0.745\
Eus\'e9bio,1071.742,0.179,15.0,0.765\
Farias Brito,1028.188,0.171,14.0,0.750\
Forquilha,1005.153,0.165,13.0,0.745\
Fortaleza,1058.000,0.180,15.0,0.750\
Fortim,1088.304,0.180,15.8,0.770\
\pard\pardeftab720\partightenfactor0

\f1 \cf0 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 municipio,K,a,b,c
\f0 \kerning1\expnd0\expndtw0 \outl0\strokewidth0 \
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0
\cf0 Frecheirinha,1012.062,0.167,13.5,0.746\
General Sampaio,1031.782,0.174,14.0,0.757\
Gra\'e7a,985.401,0.158,12.5,0.735\
Granja,1038.541,0.177,15.0,0.760\
Granjeiro,1019.231,0.168,13.0,0.742\
Groa\'edras,1005.153,0.165,13.0,0.745\
Guai\'faba,1085.302,0.180,15.5,0.768\
Guaraciaba do Norte,983.565,0.160,13.0,0.737\
Guaramiranga,1071.196,0.183,15.0,0.770\
Hidrol\'e2ndia,1000.315,0.165,13.5,0.745\
Horizonte,1107.447,0.183,16.0,0.776\
Ibaretama,1048.067,0.178,15.0,0.762\
Ibiapina,983.565,0.160,13.0,0.737\
Ibicuitinga,1041.516,0.177,15.0,0.760\
Icapu\'ed,1088.304,0.180,15.8,0.770\
Ic\'f3,1017.585,0.169,14.0,0.748\
Iguatu,1017.585,0.169,14.0,0.748\
Independ\'eancia,957.513,0.155,12.0,0.730\
Ipaporanga,957.513,0.155,12.0,0.730\
Ipaumirim,1007.761,0.165,13.0,0.741\
Ipu,1012.062,0.167,13.5,0.746\
Ipueiras,989.282,0.162,14.0,0.740\
Iracema,1015.659,0.168,14.0,0.750\
Irau\'e7uba,1000.315,0.165,13.5,0.745\
Itai\'e7aba,1088.304,0.180,15.8,0.770\
Itaitinga,1085.302,0.180,15.5,0.768\
Itapaj\'e9,1031.782,0.174,14.0,0.757\
Itapipoca,1031.782,0.174,14.0,0.757\
Itapi\'fana,1103.587,0.182,16.0,0.774\
Itarema,1051.761,0.179,15.0,0.765\
Itatira,1038.312,0.175,14.0,0.758\
Jaguaretama,1014.316,0.170,14.0,0.748\
Jaguaribara,1015.659,0.168,14.0,0.750\
